message,intent
Je veux une fiche de révision sur la Guerre d'indépendance grecque,résumé
Génère un quizz sur la Guerre du Vietnam,quizz
Quelles sont les causes de la Guerre de Corée ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre civile yéménite,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Explique-moi en bref la Guerre d'Afghanistan,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Peux-tu me faire un quizz sur la Guerre civile syrienne ?,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi des informations sur la Guerre de Corée,recherche
Fais-moi un résumé sur la Guerre franco-prussienne,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Pose-moi des questions sur la Guerre du Vietnam,quizz
Fais-moi un quizz sur la Guerre du Vietnam,quizz
Fais-moi une synthèse sur la Guerre des Boers,résumé
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me faire un quizz sur la Guerre du Yom Kippour ?,quizz
Explique-moi la Guerre de Crimée,recherche
Test mes connaissances sur la Guerre de la Ligue d'Augsbourg,quizz
Quels sont les faits marquants de la Guerre de Sept Ans ?,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi en quelques phrases la Guerre civile russe,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Raconte-moi en quelques phrases la Guerre du Darfour,résumé
Fais-moi un résumé sur la Guerre des Boers,résumé
Je veux une fiche de révision sur la Guerre de Sept Ans,résumé
Test mes connaissances sur la Guerre d'Afghanistan,quizz
Peux-tu me faire un quizz sur la Guerre franco-prussienne ?,quizz
J’aimerais un quiz sur la Guerre d'Espagne,quizz
Je veux un quizz sur la Guerre de la Ligue d'Augsbourg,quizz
Affiche-moi les réponses du test,quizz_reponses
Fais-moi un exposé sur un grand personnage de la Guerre du Vietnam,recherche
Quels sont les événements de la Guerre de Dévolution ?,recherche
Explique-moi ce qu'était la Guerre de Corée,recherche
Pose-moi des questions sur la Guerre civile angolaise,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Raconte-moi une anecdote sur la Guerre civile centrafricaine,recherche
Quels pays étaient impliqués dans la Guerre civile libyenne ?,recherche
Fais-moi une synthèse sur les Guerres napoléoniennes,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
J’aimerais un quiz sur la Guerre civile libyenne,quizz
Que s’est-il passé en la Guerre de Dévolution ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les empires ayant existé en la Guerre d'Algérie ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quels sont les faits historiques les plus importants de Seconde Guerre mondiale ?,recherche
J’aimerais un quiz sur la Guerre d'Algérie,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Explique-moi en bref la Guerre du Vietnam,résumé
Explique-moi une bataille célèbre liée à les Guerres de la Révolution française,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Je veux un quizz sur la Guerre de 1812,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Génère un quizz sur la Guerre de la Ligue de Cambrai,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Je veux un quizz sur la Guerre civile éthiopienne,quizz
Raconte-moi en quelques phrases la Guerre civile éthiopienne,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Donne-moi des informations sur la Guerre de Trente Ans,recherche
J’aimerais voir les réponses du quizz,quizz_reponses
Quels sont les empires ayant existé en la Guerre de Sécession ?,recherche
J’aimerais un quiz sur la Guerre d'indépendance grecque,quizz
Fais-moi un quizz sur la Guerre du Donbass,quizz
Quand a eu lieu la Guerre du Tigré ?,recherche
Quels sont les événements majeurs de Première la Guerre mondiale ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Fais-moi un résumé sur la Guerre du Golfe,résumé
Je veux un quizz sur la Guerre du Darfour,quizz
Je veux un résumé sur la Guerre de Succession d'Espagne,résumé
Explique-moi en bref la Guerre du Yom Kippour,résumé
Affiche-moi les réponses du test,quizz_reponses
Quels sont les événements de la Guerre d'indépendance grecque ?,recherche
Pose-moi des questions sur la Guerre de Crimée,quizz
Je veux une fiche de révision sur la Guerre de la Ligue d'Augsbourg,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Génère un quizz sur la Guerre civile sierra-léonaise,quizz
Quand a commencé la Guerre de la Ligue d'Augsbourg ?,recherche
Explique-moi en bref la Guerre de Sécession,résumé
Explique-moi la Guerre de Dévolution,recherche
Je veux un quizz sur la Guerre du Golfe,quizz
Peux-tu me parler d’un événement marquant de la Guerre du Donbass ?,recherche
Pose-moi des questions sur la Guerre du Yom Kippour,quizz
Génère un quizz sur la Guerre de Succession d'Espagne,quizz
Peux-tu me faire un quizz sur Première la Guerre mondiale ?,quizz
Fais-moi une synthèse sur la Guerre civile libérienne,résumé
Donne-moi un résumé de la Guerre d'Espagne,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Pose-moi des questions sur la Guerre d'Algérie,quizz
Fais-moi un résumé sur la Guerre Iran-Irak,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Peux-tu me faire un quizz sur la Guerre civile sierra-léonaise ?,quizz
Affiche-moi les réponses du test,quizz_reponses
Génère un quizz sur la Guerre d'Indépendance des États-Unis,quizz
Explique-moi en bref la Guerre des Boers,résumé
Dis-moi tout ce que tu sais sur la Guerre franco-prussienne,recherche
Test mes connaissances sur la Guerre du Mali,quizz
Dis-moi tout ce que tu sais sur la Guerre de Sept Ans,recherche
J’aimerais un quiz sur la Guerre civile mozambicaine,quizz
Explique-moi en bref la Guerre du Darfour,résumé
Fais-moi un résumé sur la Guerre de Bosnie,résumé
Explique-moi en bref la Guerre d'Afghanistan,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Je veux un quizz sur la Guerre du Donbass,quizz
Peux-tu me faire un quizz sur la Guerre de Sept Ans ?,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi ce qu'était la Guerre d'Algérie,recherche
Peux-tu me faire un quizz sur Seconde Guerre mondiale ?,quizz
Raconte-moi l'histoire de la Guerre de la Ligue de Cambrai,recherche
J’aimerais voir les réponses du quizz,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre de Corée,résumé
Explique-moi en bref la Guerre de la Ligue d'Augsbourg,résumé
Quand a commencé les Guerres napoléoniennes ?,recherche
Test mes connaissances sur la Guerre Iran-Irak,quizz
Fais-moi un quizz sur la Guerre civile mozambicaine,quizz
Raconte-moi l'histoire de Seconde Guerre mondiale,recherche
Quels sont les événements majeurs de la Guerre d'Afghanistan ?,recherche
Explique-moi en bref la Guerre civile russe,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Génère un quizz sur la Guerre civile centrafricaine,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi ce qu'était la Guerre d'indépendance grecque,recherche
Peux-tu me faire un quizz sur la Guerre d'Algérie ?,quizz
J’aimerais un quiz sur la Guerre de Sécession,quizz
Explique-moi une bataille célèbre liée à la Guerre de Corée,recherche
Je veux une fiche de révision sur la Guerre d'Indépendance des États-Unis,résumé
Quels sont les empires ayant existé en la Guerre civile sud-soudanaise ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi en quelques phrases la Guerre de Sept Ans,résumé
J’aimerais un quiz sur les Guerres napoléoniennes,quizz
Quels sont les faits marquants de Seconde Guerre mondiale ?,recherche
Quand a eu lieu la Guerre civile angolaise ?,recherche
Génère un quizz sur la Guerre d'indépendance grecque,quizz
Pose-moi des questions sur la Guerre du Golfe,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels sont les faits marquants de Seconde Guerre mondiale ?,recherche
Explique-moi en bref la Guerre franco-prussienne,résumé
Je veux un quizz sur la Guerre civile russe,quizz
Je veux un quizz sur la Guerre du Donbass,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
J’aimerais apprendre plus sur la Guerre de Trente Ans,recherche
J’aimerais un quiz sur la Guerre de la Ligue de Cambrai,quizz
Donne-moi un résumé de la Guerre de Succession d'Espagne,résumé
Fais-moi un résumé sur la Guerre du Vietnam,résumé
Test mes connaissances sur la Guerre du Donbass,quizz
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi en bref les Guerres de la Révolution française,résumé
Affiche-moi les réponses du test,quizz_reponses
J’aimerais un quiz sur la Guerre du Vietnam,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi un quizz sur la Guerre civile sud-soudanaise,quizz
Explique-moi la Guerre de Trente Ans,recherche
Raconte-moi une anecdote sur la Guerre civile syrienne,recherche
Explique-moi la Guerre de Crimée,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Parle-moi de la Guerre de Bosnie,recherche
Je veux un quizz sur la Guerre du Mali,quizz
Fais-moi une synthèse sur la Guerre civile syrienne,résumé
Quels sont les conflits les plus meurtriers de la Guerre du Mali ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais un quiz sur Première la Guerre mondiale,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un quizz sur la Guerre du Vietnam,quizz
Que s’est-il passé en la Guerre d'indépendance irlandaise ?,recherche
Fais-moi une synthèse sur la Guerre de Succession d'Autriche,résumé
Fais-moi une synthèse sur la Guerre franco-prussienne,résumé
Explique-moi une bataille célèbre liée à la Guerre d'Afghanistan,recherche
Je veux une fiche de révision sur la Guerre civile sierra-léonaise,résumé
J’aimerais apprendre plus sur la Guerre d'Irak,recherche
Je veux un résumé sur la Guerre civile chinoise,résumé
Explique-moi en bref la Guerre civile sierra-léonaise,résumé
Test mes connaissances sur la Guerre du Yom Kippour,quizz
Raconte-moi l'histoire de la Guerre de Hollande,recherche
Donne-moi des informations sur la Guerre du Haut-Karabagh,recherche
Quels sont les événements clés de la Guerre de Bosnie ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi un résumé de la Guerre de 1812,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Test mes connaissances sur la Guerre des Boers,quizz
Fais-moi un quizz sur la Guerre Iran-Irak,quizz
Raconte-moi l'histoire de la Guerre de Sécession,recherche
Fais-moi un résumé sur la Guerre de Sécession,résumé
Fais-moi une synthèse sur la Guerre de Succession de Pologne,résumé
Fais-moi un résumé sur la Guerre civile sierra-léonaise,résumé
Je veux un résumé sur la Guerre de la Ligue de Cambrai,résumé
Donne-moi un résumé de la Guerre de la Ligue d'Augsbourg,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un résumé sur la Guerre de Succession de Pologne,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Donne-moi un résumé de la Guerre d'Irak,résumé
Dis-moi tout ce que tu sais sur les Guerres de la Révolution française,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Donne-moi un résumé de la Guerre du Yom Kippour,résumé
Raconte-moi en quelques phrases la Guerre du Yom Kippour,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Quels sont les faits marquants de la Guerre du Mali ?,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Quels sont les personnages célèbres de la Guerre civile sierra-léonaise ?,recherche
Que s’est-il passé en la Guerre de la Ligue de Cambrai ?,recherche
Quand a commencé la Guerre d'Irak ?,recherche
Je veux un quizz sur la Guerre de la Ligue de Cambrai,quizz
Je veux une fiche de révision sur la Guerre du Tigré,résumé
Fais-moi un résumé sur la Guerre de Succession de Pologne,résumé
Peux-tu me faire un quizz sur la Guerre d'Afghanistan ?,quizz
Génère un quizz sur la Guerre de 1812,quizz
Fais-moi un quizz sur la Guerre du Tigré,quizz
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi une anecdote sur la Guerre civile éthiopienne,recherche
Donne-moi un résumé de la Guerre du Haut-Karabagh,résumé
Que s’est-il passé en la Guerre civile libyenne ?,recherche
Quelles sont les causes de la Guerre d'indépendance grecque ?,recherche
Explique-moi une bataille célèbre liée à la Guerre d'Afghanistan,recherche
Raconte-moi l'histoire de la Guerre civile angolaise,recherche
J’aimerais voir les réponses du quizz,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Quels sont les événements majeurs de la Guerre d'Espagne ?,recherche
Raconte-moi une anecdote sur la Guerre de Corée,recherche
Raconte-moi en quelques phrases la Guerre de Sept Ans,résumé
Donne-moi des informations sur la Guerre civile mozambicaine,recherche
Quels sont les faits historiques les plus importants de la Guerre civile éthiopienne ?,recherche
Quels sont les événements majeurs de la Guerre d'Indépendance des États-Unis ?,recherche
Quels sont les événements clés de la Guerre de Crimée ?,recherche
Que s’est-il passé en la Guerre civile mozambicaine ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi un résumé sur la Guerre d'Irak,résumé
Parle-moi de la Guerre de Dévolution,recherche
Donne-moi des informations sur la Guerre de Corée,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Quels pays étaient impliqués dans la Guerre du Golfe ?,recherche
Explique-moi la Guerre civile chinoise,recherche
Fais-moi un quizz sur la Guerre civile syrienne,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Donne-moi un résumé de Seconde Guerre mondiale,résumé
Donne-moi un résumé de la Guerre civile yéménite,résumé
Fais-moi un résumé sur la Guerre du Tigré,résumé
Peux-tu me faire un quizz sur la Guerre civile mozambicaine ?,quizz
Donne-moi un résumé de la Guerre du Kosovo,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Test mes connaissances sur la Guerre civile sud-soudanaise,quizz
Génère un quizz sur la Guerre de Sécession,quizz
Test mes connaissances sur les Guerres napoléoniennes,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre de Sept Ans,recherche
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Fais-moi un quizz sur Seconde Guerre mondiale,quizz
Quels sont les conflits les plus meurtriers de les Guerres de la Révolution française ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Je veux une fiche de révision sur la Guerre d'Afghanistan,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Test mes connaissances sur la Guerre du Kosovo,quizz
Pose-moi des questions sur la Guerre de Sécession,quizz
Affiche-moi les réponses du test,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Explique-moi ce qu'était la Guerre civile russe,recherche
Affiche-moi les réponses du test,quizz_reponses
Pose-moi des questions sur la Guerre de Bosnie,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Raconte-moi une anecdote sur la Guerre de la Ligue d'Augsbourg,recherche
Quels sont les personnages célèbres de la Guerre civile yéménite ?,recherche
Quels pays étaient impliqués dans la Guerre de Succession d'Espagne ?,recherche
Que s’est-il passé en la Guerre d'Afghanistan ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais apprendre plus sur Première la Guerre mondiale,recherche
Raconte-moi l'histoire de la Guerre de Hollande,recherche
Explique-moi en bref la Guerre civile centrafricaine,résumé
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre Iran-Irak,résumé
Donne-moi les solutions aux questions posées,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Pose-moi des questions sur Première la Guerre mondiale,quizz
Génère un quizz sur la Guerre d'indépendance grecque,quizz
Affiche-moi les réponses du test,quizz_reponses
Quels sont les événements clés de la Guerre civile mozambicaine ?,recherche
Fais-moi un quizz sur la Guerre de Dévolution,quizz
Quels sont les conflits les plus meurtriers de la Guerre de Bosnie ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi la Guerre de Corée,recherche
Quels sont les faits historiques les plus importants de la Guerre de la Quadruple-Alliance ?,recherche
Dis-moi tout ce que tu sais sur la Guerre de Succession d'Autriche,recherche
Test mes connaissances sur la Guerre civile russe,quizz
Explique-moi ce qu'était la Guerre de Dévolution,recherche
Quand a commencé la Guerre civile éthiopienne ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Explique-moi en bref la Guerre du Vietnam,résumé
Je veux un résumé sur la Guerre du Vietnam,résumé
Quels sont les événements clés de la Guerre d'Espagne ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Raconte-moi en quelques phrases la Guerre civile éthiopienne,résumé
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me parler d’un événement marquant de la Guerre de Succession de Pologne ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Explique-moi ce qu'était la Guerre civile yéménite,recherche
Peux-tu me faire un quizz sur la Guerre civile sierra-léonaise ?,quizz
Test mes connaissances sur la Guerre civile mozambicaine,quizz
Je veux un quizz sur la Guerre de Hollande,quizz
Explique-moi la Guerre du Haut-Karabagh,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Fais-moi un quizz sur la Guerre civile sud-soudanaise,quizz
J’aimerais voir les réponses du quizz,quizz_reponses
Génère un quizz sur la Guerre des Boers,quizz
J’aimerais apprendre plus sur la Guerre civile russe,recherche
Peux-tu me faire un quizz sur la Guerre Iran-Irak ?,quizz
Peux-tu me parler d’un événement marquant de la Guerre civile libérienne ?,recherche
Fais-moi une synthèse sur la Guerre de Succession d'Espagne,résumé
Donne-moi un résumé de la Guerre de Sécession,résumé
Affiche-moi les réponses du test,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Quelles sont les causes de la Guerre des Boers ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Fais-moi un résumé sur la Guerre de Bosnie,résumé
Donne-moi un résumé de la Guerre de Succession de Pologne,résumé
Peux-tu me faire un quizz sur la Guerre civile russe ?,quizz
Raconte-moi une anecdote sur la Guerre de Sécession,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Explique-moi en bref la Guerre d'Irak,résumé
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux un quizz sur la Guerre du Kosovo,quizz
Peux-tu me faire un quizz sur la Guerre de Crimée ?,quizz
Affiche-moi les réponses du test,quizz_reponses
Quand a eu lieu la Guerre civile sierra-léonaise ?,recherche
Je veux une fiche de révision sur la Guerre de Succession d'Autriche,résumé
Génère un quizz sur la Guerre d'Irak,quizz
Affiche-moi les réponses du test,quizz_reponses
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Donne-moi les solutions aux questions posées,quizz_reponses
Quels pays étaient impliqués dans la Guerre civile russe ?,recherche
Fais-moi un quizz sur la Guerre de Sept Ans,quizz
Je veux un résumé sur la Guerre franco-prussienne,résumé
Test mes connaissances sur la Guerre du Donbass,quizz
Explique-moi une bataille célèbre liée à la Guerre de Hollande,recherche
Peux-tu me faire un quizz sur la Guerre du Darfour ?,quizz
Test mes connaissances sur la Guerre d'Algérie,quizz
Donne-moi les solutions aux questions posées,quizz_reponses
Parle-moi de la Guerre de Hollande,recherche
Test mes connaissances sur la Guerre d'Irak,quizz
J’aimerais un quiz sur les Guerres napoléoniennes,quizz
Quels sont les événements de la Guerre d'Irak ?,recherche
Explique-moi la Guerre du Golfe,recherche
Donne-moi les solutions aux questions posées,quizz_reponses
Génère un quizz sur la Guerre civile libérienne,quizz
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Dis-moi tout ce que tu sais sur la Guerre de Crimée,recherche
Quand a eu lieu la Guerre de 1812 ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre d'Indépendance des États-Unis,résumé
Je veux un résumé sur la Guerre d'Afghanistan,résumé
Fais-moi un exposé sur un grand personnage de les Guerres de la Révolution française,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Pose-moi des questions sur la Guerre des Boers,quizz
Test mes connaissances sur la Guerre de Succession d'Espagne,quizz
Quels sont les conflits les plus meurtriers de la Guerre de la Ligue de Cambrai ?,recherche
Génère un quizz sur la Guerre civile angolaise,quizz
Génère un quizz sur la Guerre civile sierra-léonaise,quizz
Pose-moi des questions sur la Guerre de la Ligue de Cambrai,quizz
Donne-moi un résumé de la Guerre de 1812,résumé
Donne-moi un résumé de la Guerre civile syrienne,résumé
Peux-tu me faire un quizz sur la Guerre du Mali ?,quizz
Quand a eu lieu la Guerre civile mozambicaine ?,recherche
Raconte-moi en quelques phrases la Guerre Iran-Irak,résumé
Fais-moi une synthèse sur les Guerres de la Révolution française,résumé
J’aimerais voir les réponses du quizz,quizz_reponses
Fais-moi une synthèse sur la Guerre civile libérienne,résumé
Quand a commencé la Guerre du Donbass ?,recherche
Quelles sont les réponses du dernier quizz ?,quizz_reponses
Raconte-moi en quelques phrases la Guerre civile sierra-léonaise,résumé
Je veux un résumé sur la Guerre de Succession de Pologne,résumé
Fais-moi un résumé sur la Guerre de Hollande,résumé
Test mes connaissances sur la Guerre civile libyenne,quizz
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
J’aimerais voir les réponses du quizz,quizz_reponses
Affiche-moi les réponses du test,quizz_reponses
Quels sont les événements de la Guerre civile éthiopienne ?,recherche
Peux-tu me donner les corrigés du quizz ?,quizz_reponses
Je veux un résumé sur la Guerre de la Quadruple-Alliance,résumé
Peux-tu me faire un quizz sur la Guerre de Dévolution ?,quizz
Quels sont les faits marquants de la Guerre de Sécession ?,recherche
J’aimerais un quiz sur la Guerre de Bosnie,quizz
Affiche-moi les réponses du test,quizz_reponses
Quels sont les personnages célèbres de la Guerre de la Ligue d'Augsbourg ?,recherche
Quand a eu lieu la Guerre franco-prussienne ?,recherche
Parle-moi de la Guerre du Golfe,recherche
Quelles sont les causes de la Guerre de Trente Ans ?,recherche
Affiche-moi les réponses du test,quizz_reponses
Fais-moi une synthèse sur la Guerre d'Indépendance des États-Unis,résumé
